Objekt-Nr.;Unterkunftsname;Ort;Buchungsdatum;Anreise;Abreise;Nächte;Vorgang;Vertriebskanal;Status;Abgerechnet;Reisepreis;Bezahlt;Provision;Miete gesamt;Miete;
;;;;;;;;;;;;;;;Vermittler;Eigentümer
4 ;ZZZ -  Archiv - Aarhus;Zingst;26.09.2017;10.02.2018;17.02.2018;7,00;21,00;zu bearbeiten;Buchung;Ja;930,00;930,00;17%;805,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;06.01.2018;17.02.2018;24.02.2018;7,00;867,00;zu bearbeiten;Buchung;Ja;650,00;650,00;17%;525,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;16.02.2018;10.03.2018;16.03.2018;6,00;1101,00;zu bearbeiten;Buchung;Ja;615,00;615,00;17%;450,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;26.09.2017;16.03.2018;25.03.2018;9,00;20,00;zu bearbeiten;Buchung;Ja;680,80;680,80;17%;560,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;30.01.2018;28.03.2018;04.04.2018;7,00;1023,00;zu bearbeiten;Buchung;Ja;1215,00;1215,00;17%;1050,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;26.04.2018;10.05.2018;13.05.2018;3,00;1416,00;zu bearbeiten;Buchung;Ja;615,00;615,00;17%;480,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;10.01.2018;17.05.2018;21.05.2018;4,00;892,00;zu bearbeiten;Buchung;Ja;825,00;825,00;17%;660,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;26.09.2017;27.05.2018;03.06.2018;7,00;19,00;zu bearbeiten;Buchung;Ja;1059,20;1059,20;17%;910,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;26.03.2018;12.06.2018;17.06.2018;5,00;1246,00;zu bearbeiten;Buchung;Ja;925,00;935,00;17%;750,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;27.02.2018;17.06.2018;24.06.2018;7,00;1152,00;zu bearbeiten;Buchung;Ja;1335,00;1335,00;17%;1160,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;21.06.2018;24.06.2018;03.07.2018;9,00;2676,00;zu bearbeiten;Buchung;Ja;1495,00;1495,00;17%;1360,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;12.02.2018;04.07.2018;15.07.2018;11,00;1075,00;zu bearbeiten;Buchung;Ja;2170,00;2105,00;17%;2035,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;26.09.2017;29.07.2018;05.08.2018;7,00;18,00;zu bearbeiten;Buchung;Ja;1745,80;1627,80;17%;1505,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;21.12.2017;05.08.2018;12.08.2018;7,00;750,00;zu bearbeiten;Buchung;Ja;1575,00;1495,00;17%;1400,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;11.01.2018;12.08.2018;19.08.2018;7,00;904,00;zu bearbeiten;Buchung;Ja;1565,00;1565,00;17%;1400,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;04.02.2018;25.08.2018;08.09.2018;14,00;1040,00;zu bearbeiten;Buchung;Ja;2825,00;2825,00;17%;2660,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;12.04.2018;08.09.2018;16.09.2018;8,00;1315,00;zu bearbeiten;Buchung;Ja;1335,00;1335,00;17%;1160,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;16.05.2018;16.09.2018;26.09.2018;10,00;1529,00;zu bearbeiten;Buchung;Ja;1775,00;1775,00;17%;1600,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;05.09.2018;29.09.2018;06.10.2018;7,00;7013,00;zu bearbeiten;Buchung;Ja;1538,00;1538,00;17%;1400,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;22.03.2018;06.10.2018;13.10.2018;7,00;1232,00;zu bearbeiten;Buchung;Ja;1400,00;1400,00;17%;1225,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;08.08.2018;13.10.2018;20.10.2018;7,00;5768,00;zu bearbeiten;Buchung;Ja;1138,00;1138,00;17%;960,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;30.08.2018;20.10.2018;24.10.2018;4,00;6748,00;zu bearbeiten;Buchung;Ja;746,00;746,00;17%;608,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;08.10.2018;27.10.2018;03.11.2018;7,00;7807,00;zu bearbeiten;Buchung;Ja;1328,00;1328,00;17%;1190,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;08.11.2018;22.12.2018;29.12.2018;7,00;8382,00;zu bearbeiten;Buchung;Ja;1278,00;1278,00;17%;1100,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;01.03.2018;29.12.2018;05.01.2019;7,00;1159,00;zu bearbeiten;Buchung;Ja;1505,00;1505,00;17%;1370,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;18.12.2018;30.01.2019;03.02.2019;4,00;11555,00;zu bearbeiten;Buchung;Ja;410,00;410,00;17%;300,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;20.01.2019;23.02.2019;02.03.2019;7,00;18475,00;zu bearbeiten;Buchung;Ja;698,00;698,00;17%;560,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;06.01.2019;20.04.2019;27.04.2019;7,00;17058,00;zu bearbeiten;Buchung;Ja;1118,00;1118,00;17%;980,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;15.04.2019;11.05.2019;18.05.2019;7,00;30086,00;zu bearbeiten;Buchung;Ja;1248,00;1248,00;17%;1120,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;07.05.2019;21.05.2019;24.05.2019;3,00;32643,00;zu bearbeiten;Buchung;Ja;468,00;468,00;17%;390,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;08.10.2018;25.05.2019;15.06.2019;21,00;7806,00;zu bearbeiten;Buchung;Ja;2868,00;2868,00;17%;2730,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;05.01.2019;16.06.2019;21.06.2019;5,00;16955,00;zu bearbeiten;Buchung;Ja;863,00;863,00;17%;725,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;27.01.2019;22.06.2019;04.07.2019;12,00;19299,00;zu bearbeiten;Buchung;Ja;2238,00;2238,00;17%;2100,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;20.12.2018;07.07.2019;21.07.2019;14,00;11691,00;zu bearbeiten;Buchung;Ja;2798,00;2798,00;17%;2660,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;09.01.2019;21.07.2019;28.07.2019;7,00;17320,00;zu bearbeiten;Buchung;Ja;2135,36;2135,36;17%;1645,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;13.11.2018;28.07.2019;04.08.2019;7,00;8714,00;zu bearbeiten;Buchung;Ja;1783,00;1783,00;17%;1645,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;03.02.2019;04.08.2019;14.08.2019;10,00;20166,00;zu bearbeiten;Buchung;Ja;2228,00;2228,00;17%;2050,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;26.02.2019;17.08.2019;31.08.2019;14,00;23406,00;zu bearbeiten;Buchung;Ja;2715,47;2715,47;17%;2450,00;0,00;0,00
4 ;ZZZ -  Archiv - Aarhus;Zingst;20.06.2019;01.09.2019;08.09.2019;7,00;33586,00;zu bearbeiten;Buchung;Ja;1538,00;1538,00;17%;1400,00;0,00;0,00
